symbol,name,fetch_timestamp,price,open,high,low,prev_close,price_change,price_change_pct,volume,quote_volume,trades_count,weighted_avg,price_range,volatility_pct,trade_intensity,vwap_deviation,volatility_label,market_signal
SHIBUSDT,Shiba Inu,2026-03-15T17:15:06.526735,6e-06,6e-06,6e-06,6e-06,6e-06,-0.0,-0.679,463762023769.0,2722142.24,73484,6e-06,0.0,,37.044,0.0,Unknown,Sell
DOTUSDT,Polkadot,2026-03-15T17:15:06.526735,1.432,1.438,1.444,1.392,1.439,-0.006,-0.417,5642509.22,8006695.27,34648,1.418996,0.052,3.6161,231.0868,0.9164,High,Sell
BTCUSDT,Bitcoin,2026-03-15T17:20:04.620440,71712.53,70733.78,71940.49,70500.0,70733.77,978.75,1.384,11196.7301,797786245.66,1706079,71251.717303,1440.49,2.0365,467.6139,0.6467,Medium,Buy
ETHUSDT,Ethereum,2026-03-15T17:20:04.620440,2116.59,2074.96,2123.44,2069.19,2074.97,41.63,2.006,127033.9217,266161384.7,1432493,2095.199307,54.25,2.6145,185.8029,1.0209,Medium,Strong Buy
BNBUSDT,Binance Coin,2026-03-15T17:20:04.620440,660.88,653.04,666.55,651.85,653.04,7.84,1.201,56804.506,37383774.82,478746,658.112841,14.7,2.251,78.0869,0.4205,Medium,Buy
SOLUSDT,Solana,2026-03-15T17:20:04.620440,88.3,86.98,88.88,86.62,86.98,1.32,1.518,1338915.053,117563317.26,448845,87.804911,2.26,2.5983,261.9241,0.5639,Medium,Buy
XRPUSDT,XRP,2026-03-15T17:20:04.620440,1.4161,1.3927,1.4211,1.3871,1.3928,0.0234,1.68,54684753.4,76813883.48,293752,1.404667,0.034,2.4413,261.4923,0.8139,Medium,Buy
DOGEUSDT,Dogecoin,2026-03-15T17:20:04.620440,0.09617,0.0951,0.09746,0.09436,0.0951,0.00107,1.125,606711077.0,58111493.72,396444,0.095781,0.0031,3.2597,146.5818,0.4061,High,Buy
ADAUSDT,Cardano,2026-03-15T17:20:04.620440,0.265,0.2607,0.2673,0.2585,0.2606,0.0043,1.649,77688699.9,20398416.13,82511,0.262566,0.0088,3.3755,247.2206,0.927,High,Buy
AVAXUSDT,Avalanche,2026-03-15T17:20:04.620440,9.82,9.55,9.87,9.54,9.55,0.27,2.827,945364.18,9165148.43,32421,9.694834,0.33,3.4555,282.6917,1.2911,High,Strong Buy
SHIBUSDT,Shiba Inu,2026-03-15T17:20:04.620440,6e-06,6e-06,6e-06,6e-06,6e-06,-0.0,-0.51,464168918365.0,2724518.35,73230,6e-06,0.0,,37.2049,0.0,Unknown,Sell
DOTUSDT,Polkadot,2026-03-15T17:20:04.620440,1.434,1.443,1.444,1.392,1.442,-0.009,-0.624,5632349.82,7992024.92,34605,1.41895,0.052,3.6036,230.95,1.0606,High,Sell
BTCUSDT,Bitcoin,2026-03-15T17:25:06.025500,71699.09,70765.79,71940.49,70500.0,70765.79,933.3,1.319,11192.8113,797520523.4,1706429,71252.923406,1440.49,2.0356,467.3623,0.6262,Medium,Buy
ETHUSDT,Ethereum,2026-03-15T17:25:06.025500,2115.83,2076.85,2123.44,2069.19,2076.85,38.98,1.877,126792.2992,265667515.75,1432195,2095.296934,54.25,2.6121,185.4967,0.98,Medium,Buy
BNBUSDT,Binance Coin,2026-03-15T17:25:06.025500,661.24,653.22,666.55,651.85,653.22,8.02,1.228,56927.52,37466007.03,479638,658.13524,14.7,2.2504,78.1131,0.4718,Medium,Buy
SOLUSDT,Solana,2026-03-15T17:25:06.025500,88.32,87.07,88.88,86.62,87.08,1.25,1.436,1336377.267,117344170.13,448675,87.807667,2.26,2.5956,261.5349,0.5835,Medium,Buy
XRPUSDT,XRP,2026-03-15T17:25:06.025500,1.4155,1.3925,1.4211,1.3871,1.3925,0.023,1.652,54463920.6,76518278.39,293351,1.404935,0.034,2.4417,260.8421,0.752,Medium,Buy
DOGEUSDT,Dogecoin,2026-03-15T17:25:06.025500,0.09618,0.09516,0.09746,0.09436,0.09515,0.00102,1.072,605418760.0,57988781.57,396155,0.095783,0.0031,3.2577,146.379,0.4145,High,Buy
ADAUSDT,Cardano,2026-03-15T17:25:06.025500,0.265,0.2608,0.2673,0.2585,0.2607,0.0042,1.61,77672514.5,20394368.65,82531,0.262569,0.0088,3.3742,247.1116,0.9259,High,Buy
AVAXUSDT,Avalanche,2026-03-15T17:25:06.025500,9.82,9.57,9.87,9.54,9.56,0.25,2.612,943778.1,9150351.11,32359,9.695448,0.33,3.4483,282.7761,1.2846,High,Strong Buy
SHIBUSDT,Shiba Inu,2026-03-15T17:25:06.025500,6e-06,6e-06,6e-06,6e-06,6e-06,-0.0,-0.51,464621591270.0,2727152.67,73459,6e-06,0.0,,37.1248,0.0,Unknown,Sell
DOTUSDT,Polkadot,2026-03-15T17:25:06.025500,1.434,1.443,1.443,1.392,1.442,-0.009,-0.624,5617298.56,7970205.67,34570,1.418868,0.051,3.5343,230.5527,1.0665,High,Sell
BTCUSDT,Bitcoin,2026-03-15T17:30:06.368730,71703.84,70713.77,71940.49,70500.0,70713.77,990.07,1.4,11189.0871,797269584.79,1705208,71254.211724,1440.49,2.0371,467.5498,0.631,Medium,Buy
ETHUSDT,Ethereum,2026-03-15T17:30:06.368730,2116.83,2074.7,2123.44,2069.19,2074.69,42.13,2.031,126606.0483,265286010.55,1430848,2095.366012,54.25,2.6148,185.4047,1.0244,Medium,Strong Buy
BNBUSDT,Binance Coin,2026-03-15T17:30:06.368730,661.09,653.03,666.55,651.85,653.04,8.06,1.234,57216.83,37657829.01,481044,658.160003,14.7,2.251,78.2835,0.4452,Medium,Buy
SOLUSDT,Solana,2026-03-15T17:30:06.368730,88.41,87.02,88.88,86.62,87.02,1.39,1.597,1332856.734,117039910.58,448383,87.811321,2.26,2.5971,261.0266,0.6818,Medium,Buy
XRPUSDT,XRP,2026-03-15T17:30:06.368730,1.417,1.3905,1.4211,1.3871,1.3905,0.0265,1.906,54294795.2,76284894.5,292645,1.405013,0.034,2.4452,260.6738,0.8532,Medium,Buy
DOGEUSDT,Dogecoin,2026-03-15T17:30:06.368730,0.0963,0.09497,0.09746,0.09436,0.09497,0.00133,1.4,601260574.0,57594510.65,395941,0.09579,0.0031,3.2642,145.4624,0.5324,High,Buy
ADAUSDT,Cardano,2026-03-15T17:30:06.368730,0.2656,0.2606,0.2673,0.2585,0.2606,0.005,1.919,77625860.4,20382571.09,82565,0.262574,0.0088,3.3768,246.867,1.1524,High,Buy
AVAXUSDT,Avalanche,2026-03-15T17:30:06.368730,9.85,9.55,9.87,9.54,9.55,0.3,3.141,946411.15,9176606.59,32419,9.696216,0.33,3.4555,283.0626,1.586,High,Strong Buy
SHIBUSDT,Shiba Inu,2026-03-15T17:30:06.368730,6e-06,6e-06,6e-06,6e-06,6e-06,-0.0,-0.51,463539195779.0,2720779.64,73110,6e-06,0.0,,37.2149,0.0,Unknown,Sell
DOTUSDT,Polkadot,2026-03-15T17:30:06.368730,1.439,1.441,1.442,1.392,1.441,-0.002,-0.139,5632416.89,7991913.35,34660,1.418914,0.05,3.4698,230.5803,1.4156,High,Sell
BTCUSDT,Bitcoin,2026-03-15T17:35:05.185565,71693.61,70689.58,71940.49,70500.0,70689.58,1004.03,1.42,11123.1729,792614434.65,1702599,71257.944081,1440.49,2.0378,465.5321,0.6114,Medium,Buy
ETHUSDT,Ethereum,2026-03-15T17:35:05.185565,2115.76,2072.59,2123.44,2069.19,2072.59,43.17,2.083,126452.2442,264972639.49,1428447,2095.436433,54.25,2.6175,185.497,0.9699,Medium,Strong Buy
BNBUSDT,Binance Coin,2026-03-15T17:35:05.185565,660.82,652.99,666.55,651.85,652.99,7.83,1.199,57300.936,37714649.88,480845,658.185581,14.7,2.2512,78.4341,0.4003,Medium,Buy
SOLUSDT,Solana,2026-03-15T17:35:05.185565,88.41,86.89,88.88,86.62,86.9,1.52,1.749,1328925.051,116699906.27,447409,87.815266,2.26,2.601,260.835,0.6773,Medium,Buy
